s^id^name^type^gNPC^gTime^gHp^endX^endY^endRange^focusName^skill^event^delayTime^next^b
0^300001^巡逻AI1^1^ ^0^-1^45^20^0^ ^0^0^0^300002^0
0^300002^巡逻AI1^1^ ^0^-1^45^25^0^ ^0^0^0^300003^0
0^300003^巡逻AI1^1^ ^0^-1^50^25^0^ ^0^0^0^300004^0
0^300004^巡逻AI1^1^ ^0^-1^50^20^0^ ^0^0^0^300001^0
0^300005^巡逻AI1^1^ ^0^-1^34^31^0^ ^0^0^0^300006^0
0^300006^巡逻AI1^1^ ^0^-1^38^31^0^ ^0^0^0^300005^0
0^300007^巡逻AI2^1^ ^0^-1^57^19^0^ ^0^0^0^300008^0
0^300008^巡逻AI2^1^ ^0^-1^57^33^0^ ^0^0^0^300007^0
0^300009^巡逻AI3^1^ ^0^-1^53^33^0^ ^0^0^0^300010^0
0^300010^巡逻AI3^1^ ^0^-1^43^33^0^ ^0^0^0^300009^0
0^300011^巡逻AI4^1^ ^0^-1^16^13^0^ ^0^0^0^300012^0
0^300012^巡逻AI4^1^ ^0^-1^16^55^0^ ^0^0^0^0^0
0^300013^巡逻AI5^1^ ^0^-1^21^13^0^ ^0^0^0^0^0
0^300014^巡逻AI5^1^ ^0^-1^21^55^0^ ^0^0^0^300013^0
0^300015^巡逻AI6^1^ ^0^-1^46^12^0^ ^0^0^0^0^0
0^300016^巡逻AI6^1^ ^0^-1^45^55^0^ ^0^0^0^300015^0
0^300017^巡逻AI7^1^ ^0^-1^54^12^0^ ^0^0^0^300018^0
0^300018^巡逻AI7^1^ ^0^-1^54^55^0^ ^0^0^0^0^0
0^300019^巡逻AI8^1^ ^0^-1^35^28^0^ ^0^0^0^300020^0
0^300020^巡逻AI8^1^ ^0^-1^35^48^0^ ^0^0^0^300021^0
0^300021^巡逻AI8^1^ ^0^-1^15^48^0^ ^0^0^0^300022^0
0^300022^巡逻AI8^1^ ^0^-1^15^28^0^ ^0^0^0^300019^0
0^300023^巡逻AI9^1^ ^0^-1^35^33^0^ ^0^0^0^0^0
0^300024^巡逻AI10^1^ ^0^-1^45^20^0^ ^0^0^0^300025^0
0^300025^巡逻AI10^1^ ^0^-1^50^20^0^ ^0^0^0^300024^0
0^300026^巡逻AI11^1^ ^0^-1^40^35^0^ ^0^0^0^300027^0
0^300027^巡逻AI11^1^ ^0^-1^45^35^0^ ^0^0^0^300026^0
0^300028^行走AI1_3_4^1^ ^0^-1^53^43^0^ ^0^0^0^300029^0
0^300029^行走AI1_3_4^1^ ^0^-1^63^33^0^ ^0^0^0^300028^0
0^300030^巡逻AI12^1^ ^0^-1^58^115^0^ ^0^0^0^300302^0
0^300031^巡逻AI12^1^ ^0^-1^58^35^0^ ^0^0^0^300301^0
0^300032^巡逻AI13^1^ ^0^-1^84^27^0^ ^0^0^0^300036^0
0^300033^巡逻AI13^1^ ^0^-1^84^37^0^ ^0^0^0^300034^0
0^300034^巡逻AI13^1^ ^0^-1^64^37^0^ ^0^0^0^300035^0
0^300035^巡逻AI13^1^ ^0^-1^64^47^0^ ^0^0^0^300036^0
0^300036^巡逻AI13^1^ ^0^-1^44^47^0^ ^0^0^0^0^0
0^300037^行走AI1_8_2^1^ ^0^-1^19^46^0^ ^0^0^0^0^0
0^300038^行走AI2_3_5^1^ ^0^-1^1^73^0^ ^0^0^3^306018^0
0^300039^行走AI2_2_2^1^ ^0^-1^66^54^0^ ^0^0^0^0^0
