f^id^name^map^tiledmap^tiledimage^group^next_level^unlock_level^guide_id^required_lv^required_star^required_equiptype^required_equip^restrict_equip^topic^energy^hint^bgm^xp_drop^star1_reward^star1_reward_num^star2_reward^star2_reward_num^star3_reward^star3_reward_num^goal1^lifespan^show_xy^find_path^hero_rotation^b
0^110000^新手引导^0^map1_6_1^map1_1_1^0^110001^110001^0|2002|2003^0^0^^^^基本语法|方法使用^0^ ^fight1^0^0^0^0^0^0^0^122001|123012|120004^60^1^0^2^0
0^110001^1. 古迹迷踪^1001^map1_1_1^map1_1_1^1101^110002^110002^2006|2011|2014^0^0^5^^^基本语法|方法使用^0^ ^fight2^0^11000^1^18002^8^18002^15^122001|120004|124003^120^0^0^2^0
0^110002^2. 危机潜伏^1001^map1_1_2^map1_1_1^1101^110003^110003^0^0^0^5^^^基本语法|方法使用^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|124001|120004^120^1^0^3^0
0^110003^3. 外星生物^1001^map1_1_3^map1_1_1^1101^110004^110004^0^0^0^5^^^基本语法|方法使用^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|124003|120004^120^1^0^4^0
0^110004^4. 符文奇阵^1001^map1_1_4^map1_1_1^1101^110005^110005^0^0^0^5^^^基本语法|方法使用^0^ ^fight2^0^18002^5^18002^8^18002|18000^15|1^122001|120004^120^1^0^0^0
0^110005^5. 陌生的善意^1001^map1_1_5^map1_1_1^1101^110006^110006^0^0^0^5^^^基本语法|方法使用^0^ ^fight2^0^18002|19000^5|1^18002^8^18002|10000^10|1^120004|122001^120^1^1^4^0
0^110006^1. 战斗之剑^1001^map1_2_1^map1_1_1^1102^110007^110007^0^0^0^5|1^^^字符串|参数^0^ ^fight1^0^18002^5^18002|12000^8|1^18002^10^122001|123002|120004^120^1^0^1^0
0^110007^2. 异星凶兽^1001^map1_2_2^map1_1_1^1102^110008^110008^0^0^0^5|1^^^字符串|参数^0^ ^fight1^0^18002^5^18002^8^18002^10^122001|123003|120004^120^1^0^1^0
0^110008^3. 新的盟友^1001^map1_2_3^map1_1_1^1102^110009^110009^0^0^0^5|1^^^字符串|参数^0^ ^fight1^0^18002^5^18002^8^18002^10^123030|123004|120004^120^1^1^4^0
0^110009^4. 远程优势^1001^map1_2_4^map1_1_1^1102^110010^110010^0^0^0^5|1^^^字符串|参数^0^ ^fight1^0^18002^5^18002^8^18002^10^122002|123005|120004^120^1^1^4^0
0^110010^5. 魔法龙柱^1001^map1_2_5^map1_1_1^1102^110011^110011^0^0^0^5|1^^^字符串|参数^0^ ^fight1^0^18002^5^18002^8^18002|18000^10|10^120004|123019|123020^120^1^0^3^0
0^110011^1. 审时度势^1001^map1_3_1^map1_1_1^1103^110012^110012^0^0^0^5^^^数字|参数^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|124003|120004^120^1^0^1^0
0^110012^2. 避其锋芒^1001^map1_3_2^map1_1_1^1103^110013^110013^0^0^0^5^^^数字|参数^0^ ^fight2^0^18002^5^18002^8^18002^10^120004|124003|122001^120^1^0^3^0
0^110013^3. 一石二鸟^1001^map1_3_3^map1_1_1^1103^110014^110014^0^0^0^5^^^数字|参数^0^ ^fight2^0^18002^5^18002^8^18002|18000^10|5^120004|124002|122001^120^1^1^4^0
0^110014^4. 调虎离山^1001^map1_3_4^map1_1_1^1103^110015^110015^0^0^0^5^^^数字|参数^0^ ^fight2^0^18002^5^18002^8^18002^10^122001|120004^120^1^0^4^0
0^110015^5. 继续深入^1001^map1_3_5^map1_1_1^1103^110016^110016^0^0^0^5^^^数字|参数^0^ ^fight2^0^18002^5^18002|13000^8|1^18002^10^120004|124003|123006^120^1^0^3^0
0^110016^1. 致命机关^1001^map1_4_1^map1_1_1^1104^110017^110017^0^0^0^4^^^初级while循环^0^ ^fight1^0^18002^5^18002^8^18002^10^122004|124002^31^1^0^4^0
0^110017^2. 小型迷宫^1001^map1_4_2^map1_1_1^1104^110018^110018^0^0^0^4^^^初级while循环^0^ ^fight1^0^18002^5^18002^8^18002|18000^10|5^122001|120004|124002^120^1^0^4^0
0^110018^3. 穿越回廊^1001^map1_4_3^map1_1_1^1104^110019^110019^0^0^0^4^^^初级while循环^0^ ^fight1^0^18002^5^18002^8^18002|11001^10|1^124002|120004^120^1^0^4^0
